Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Edwige Lawson-Wade,SAS,G,33,583,14,0.541,0.748,0.119,1.9,7,22.1,2.7,0.1,15.4,15.1,1.1,0.5,1.6,0.108,2009
DeLisha Milton-Jones,LAS,F,33,1043,11.6,0.477,0.255,0.23,6.1,9.1,11.7,2.1,0.7,17.3,18.5,0.4,1.5,1.9,0.073,2009
Deanna Nolan,DET,G-F,33,1113,17.4,0.485,0.234,0.221,3.9,7.6,20.4,2.1,0.8,11.2,25.9,2.2,1.3,3.4,0.123,2009
Courtney Paris,SAC,C,33,442,18.9,0.546,0.008,0.25,15.9,19,9.3,1.3,1.9,12,16.6,1.4,0.4,1.8,0.161,2009
Sidney Spencer,NYL,G,33,340,10.9,0.538,0.648,0.102,2.5,6.7,8,0.9,0.3,8.9,13.8,0.6,0.3,0.8,0.098,2009
Ketia Swanier,PHO,G,33,388,7.7,0.485,0.375,0.205,2.2,7.6,19,1.8,0.5,32.4,15.4,-0.4,0.1,-0.3,-0.033,2009
Tanisha Wright,SEA,G,33,1072,16.3,0.545,0.093,0.327,5.4,7,23.7,2.5,0.8,18.7,20,2.4,1.5,3.9,0.146,2009
Sophia Young-Malcolm,SAS,F,33,1113,21.5,0.531,0.114,0.392,7.8,12,10.2,2.1,1.1,9.9,26.3,3.2,1,4.2,0.153,2009
Armintie Herrington,TOT,G,33,421,9.1,0.439,0,0.595,9.2,10.7,11.6,1.9,0.6,20.3,14.2,0,0.2,0.2,0.018,2009
Swin Cash,SEA,F,32,1094,12.8,0.474,0.087,0.361,7.5,12.6,14.4,1.4,1.3,18.1,21.6,0.3,1.7,2,0.075,2009
Shameka Christon,NYL,G,32,1014,19.5,0.574,0.533,0.386,3.4,9.3,11,1.5,2.3,11.1,23.1,3.4,1.4,4.8,0.189,2009
Tamecka Dixon,IND,G,32,424,9.7,0.461,0.075,0.157,2.7,7.3,17,1.5,0.6,15.9,18.1,0,0.6,0.6,0.056,2009
Alexis Hornbuckle,DET,G,32,850,10.4,0.455,0.3,0.225,6.5,11.1,16.7,2.6,0.9,22.8,15.8,-0.3,1.3,1,0.049,2009
Vickie Johnson,SAS,G-F,32,737,12.6,0.518,0.303,0.146,3.9,9.1,18.5,1.2,0.4,16.5,15,1,0.3,1.3,0.07,2009
Jennifer Lacy,ATL,F,32,362,5.8,0.395,0.178,0.308,10,11,3.6,1.2,1.5,16.5,16.7,-0.3,0.4,0,0.003,2009
Janel McCarville,NYL,F-C,32,848,22,0.565,0.01,0.355,9,12.4,21.9,2.6,4.5,19.8,23.8,1.9,1.7,3.7,0.172,2009
Erin Phillips,CON,G,32,740,14.9,0.51,0.516,0.284,4.3,7.9,15.5,3,0.3,14.5,17.8,1,1.1,2.1,0.114,2009
Alana Beard,WAS,G-F,31,985,16.7,0.504,0.244,0.26,2.3,7.5,14.2,3.7,1.5,17,25.9,0.6,1.9,2.5,0.101,2009
Sue Bird,SEA,G,31,1101,15.6,0.502,0.398,0.109,1.4,4.6,32.1,2.3,0.2,17,20.4,1.7,1.4,3.1,0.112,2009
Katie Douglas,IND,G-F,31,1003,20.4,0.533,0.412,0.266,2.8,7.2,18.6,2.9,0.6,12.8,26.4,2.4,1.9,4.3,0.171,2009
Becky Hammon,SAS,G,31,1049,23.5,0.593,0.461,0.318,3,6.1,30.8,2.5,0.9,17.9,27.6,3.8,0.7,4.5,0.171,2009
Kristi Harrower,LAS,G,31,520,9,0.419,0.351,0.099,4.1,6.6,21.2,1.6,0,18.9,12.3,0.2,0.6,0.7,0.054,2009
Kelly Mazzante,PHO,G,31,433,7.8,0.528,0.889,0.03,1.9,5.2,5.3,1.1,0.5,9.1,10.7,0.5,-0.1,0.4,0.038,2009
Jessica Moore,IND,F-C,31,613,8.6,0.524,0.008,0.38,7.6,9.5,4.2,1.6,0.8,18.5,12.7,0.4,0.9,1.3,0.086,2009
Ruth Riley,SAS,C,31,650,11.9,0.514,0.122,0.177,6.8,13.4,7.6,1.2,5.4,18.1,13.9,0.4,0.8,1.2,0.072,2009
Olayinka Sanni,DET,F-C,31,298,12.5,0.523,0,0.367,11,11.5,9.9,1.9,1.5,20.9,21.4,0.2,0.4,0.5,0.073,2009
Diana Taurasi,PHO,G,31,976,25.4,0.62,0.447,0.392,2.2,10.2,18.2,1.8,3.1,13.9,25.4,4.7,0.7,5.4,0.222,2009
Nicky Anosike,MIN,F-C,30,896,24.2,0.565,0.015,0.732,9.6,15.1,16.6,4.6,2.5,14.8,20.3,3.1,1.4,4.6,0.205,2009
Betty Lennox,LAS,G,30,640,16.1,0.515,0.31,0.246,6.5,12.8,15.9,2.2,0.5,19.1,25.8,0.6,1.2,1.8,0.11,2009
Ticha Penicheiro,SAC,G,30,724,11.5,0.436,0.065,0.504,2.1,7,34.1,2.2,0.5,27.4,14.2,0.2,0.4,0.6,0.034,2009
Belinda Snell,SAS,G,30,553,12.1,0.48,0.753,0.159,4.8,7.9,11.9,2.6,0.4,13,18.9,0.4,0.4,0.8,0.055,2009
