Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Ashley Robinson,SEA,C,34,583,10.1,0.49,0.008,0.18,9.7,14.7,7.4,2.1,4.7,25,14.5,-0.4,1.4,1.1,0.073,2011
Danielle Robinson,SAS,G,34,786,15.6,0.551,0.005,0.437,3.5,5.9,28.8,1.8,0.4,19.1,18.4,1.8,0.9,2.7,0.137,2011
Katie Smith,SEA,G,34,853,11.2,0.535,0.556,0.157,2.7,6,14.4,1.5,0.5,15.9,16,1.1,1.1,2.2,0.104,2011
Michelle Snow,CHI,C,34,821,11.3,0.5,0.011,0.278,6,15.8,13.2,1,4.2,25.7,15,-0.3,1.7,1.3,0.065,2011
Tammy Sutton-Brown,IND,C,34,645,15.4,0.554,0.022,0.504,8.1,10.2,5.1,3,5.3,16.3,14.7,1,1.2,2.3,0.141,2011
Jasmine Thomas,WAS,G,34,655,9,0.424,0.32,0.149,2.3,6.9,19.2,2.1,1.1,17.6,21.6,-0.7,0.2,-0.5,-0.033,2011
Tina Thompson,LAS,F,34,851,13.8,0.497,0.408,0.212,7.4,11.2,7.9,2.5,2.2,16.7,22.4,0.2,0.5,0.7,0.034,2011
Erin Thorn,CHI,G,34,571,11.5,0.531,0.497,0.117,2,6.2,25.4,1,0.4,25.6,18.3,0.1,0.5,0.6,0.042,2011
Courtney Vandersloot,CHI,G,34,777,8,0.467,0.274,0.219,0.8,5.2,28.2,1.6,1.3,28.1,19.1,-1,0.9,-0.1,-0.007,2011
Kia Vaughn,NYL,C,34,955,16.4,0.527,0,0.187,12,14.7,7.1,2.2,2.3,15.8,18.2,1.6,1.7,3.3,0.138,2011
Lindsay Whalen,MIN,G,34,956,23.2,0.575,0.12,0.349,3.8,7.5,34.6,2,0.5,15.7,22.4,4.3,1.4,5.7,0.239,2011
Tan White,CON,G,34,747,10.7,0.47,0.427,0.26,2.6,7.3,13.8,2.8,0.6,16.4,15.2,0.2,1.3,1.5,0.082,2011
Candice Wiggins,MIN,G,34,582,12.1,0.536,0.705,0.136,1.2,6.5,12.8,1.6,1.1,13.9,16.6,1,0.8,1.8,0.127,2011
Le'coe Willingham,SEA,F,34,649,14.2,0.528,0.217,0.288,11.2,14.3,10.9,1.5,0.9,17.8,18.7,0.8,1.1,1.9,0.119,2011
Liz Cambage,TUL,C,33,659,20.8,0.586,0.019,0.538,9.9,15,6.2,2.2,3.6,19.6,27.9,1.2,0.4,1.6,0.098,2011
Tamika Catchings,IND,F,33,1040,24.6,0.561,0.24,0.422,7.7,13.9,21.1,3.4,2.4,13.8,23.7,4.1,2.3,6.5,0.248,2011
Shyra Ely-Gash,IND,F,33,355,6.4,0.423,0.22,0.266,6.8,12.7,4.4,0.9,1.4,17,19.3,-0.5,0.4,-0.1,-0.007,2011
Kalana Greene,CON,G,33,781,11.1,0.498,0.277,0.271,3.7,9.1,9.8,2,1.2,13.5,12.2,0.7,1.3,2,0.102,2011
Becky Hammon,SAS,G,33,1050,19.7,0.586,0.483,0.278,0.5,5.4,33.9,2.4,0.5,21,25,2.1,1.5,3.7,0.14,2011
Cathrine Kraayeveld,CHI,F,33,681,11.3,0.562,0.76,0.09,4.4,7.7,10.2,1.6,0.9,18,14.1,0.8,0.8,1.5,0.09,2011
Jantel Lavender,LAS,C,33,487,16.1,0.532,0,0.245,9,12.9,6,0.7,2,12.1,22.3,0.8,0.1,0.9,0.073,2011
Kara Lawson,CON,G,33,832,17.6,0.613,0.518,0.296,1.6,5.9,19.4,1.4,0.1,14.1,17.3,2.8,1,3.8,0.183,2011
Camille Little,SEA,F,33,887,13.7,0.506,0.079,0.299,7.1,12.6,11.9,2.8,2,19.3,21.1,0.1,2,2.1,0.097,2011
Angel McCoughtry,ATL,F-G,33,921,26,0.523,0.13,0.518,6.5,10.7,17.1,3.8,2.6,13.3,35.5,2.8,1.9,4.7,0.206,2011
Kayla Pedersen,TUL,F,33,784,11.9,0.505,0.342,0.271,3.8,9.7,14.2,2.4,1.2,15.9,15.4,0.6,0.2,0.8,0.041,2011
Plenette Pierson,NYL,F,33,945,18,0.527,0.028,0.271,7.8,11.3,8.7,2.1,2.8,13.3,22.3,2,1.5,3.5,0.149,2011
Nicole Powell,NYL,F,33,935,13.8,0.528,0.531,0.111,4.1,9.3,13.5,2.5,0.9,17.7,17.7,1.1,1.5,2.6,0.113,2011
Noelle Quinn,LAS,G,33,681,10.8,0.487,0.354,0.134,2,5.3,15.6,1.7,0.2,12.1,13.6,0.8,-0.1,0.6,0.038,2011
Andrea Riley,TUL,G,33,626,5.9,0.436,0.549,0.27,1,3.8,17.9,2.7,0.4,22.7,21.5,-1.4,0,-1.4,-0.091,2011
Nakia Sanford,PHO,C-F,33,476,11.4,0.564,0,0.632,12.8,16.8,3.7,0.7,1.1,19.3,13.7,0.9,0.2,1.1,0.093,2011
Tangela Smith,IND,C,33,711,11,0.472,0.397,0.143,4.8,8.9,12.3,1.7,1.9,14.3,19.3,0.3,0.9,1.2,0.066,2011
Sheryl Swoopes,TUL,F-G,33,879,12.5,0.494,0.358,0.181,2.9,9.8,17.1,1.5,0.8,14.1,16.6,0.7,0,0.7,0.031,2011
Tanisha Wright,SEA,G,33,953,13.6,0.597,0.204,0.363,3.6,7.2,19.1,2.3,0.1,24.4,18.6,1.4,1.5,2.9,0.123,2011
Sophia Young-Malcolm,SAS,F,33,1043,16.7,0.465,0.015,0.393,5.3,12,13.4,3.3,1.2,9.8,23,0.5,2.4,2.8,0.108,2011
Tamera Young,CHI,F,33,792,10.2,0.475,0.029,0.317,6.5,9.5,9.7,2.4,0.9,18.5,19.2,-0.3,1.2,0.9,0.048,2011
Shavonte Zellous,IND,G,33,463,15.7,0.557,0.262,0.569,5.8,10.7,17.3,1.4,2.7,16.4,19.6,1.2,0.6,1.9,0.16,2011
Essence Carson,NYL,F-G,32,725,18.9,0.511,0.195,0.252,5.1,7.7,13.6,2.8,2.4,11.5,24.9,1.6,1.2,2.7,0.151,2011
Erika de Souza,ATL,F-C,32,877,17.7,0.515,0.003,0.16,10.7,15.6,6,2.1,3.7,13.4,20.2,1.2,1.7,2.9,0.132,2011
Scholanda Dorrell,SAS,G,32,518,7.7,0.439,0.342,0.284,2,5.6,3.8,2.3,1.1,9.8,17.2,-0.4,0.7,0.3,0.023,2011
Katie Douglas,IND,G-F,32,940,19.5,0.574,0.42,0.196,4.2,8.3,19,2.3,0.7,14.4,22.5,2.6,1.2,3.8,0.164,2011
Diana Taurasi,PHO,G,32,965,23.8,0.62,0.443,0.467,1.6,6.1,21.2,1.2,1.6,14.7,29.4,5,0.1,5.1,0.212,2011
Kristi Toliver,LAS,G,32,754,15.9,0.555,0.44,0.181,3,4.9,22.9,1.5,0,17,24.1,1.6,-0.3,1.3,0.069,2011
Jessica Adair,MIN,C,31,321,16.9,0.53,0,0.476,16.2,16.8,4.9,1.3,5,17.8,21.1,0.6,0.6,1.2,0.154,2011
Jayne Appel-Marinelli,SAS,C,31,452,12.8,0.495,0.034,0.281,10.2,18.5,9,1.9,3.6,18.7,12.6,0.3,1.1,1.4,0.128,2011
Shannon Bobbitt,IND,G,31,439,11.3,0.476,0.383,0.261,3.5,5.8,20.8,3.7,0,22.4,17.6,0,0.6,0.6,0.058,2011
Quanitra Hollingsworth,NYL,C,31,524,11.2,0.57,0,0.515,12.3,16.2,3,1.6,1.7,25.8,14.7,0.4,0.9,1.2,0.093,2011
Crystal Langhorne,WAS,F,31,1063,21.6,0.572,0.019,0.358,10.6,13.8,11.3,2,1.1,17.2,25.3,2.8,0.5,3.2,0.122,2011
Coco Miller,ATL,G,31,538,11.8,0.476,0.203,0.167,4.6,6.3,13.1,1.6,0.1,11.5,20.9,0.4,0.4,0.9,0.064,2011
Jenna O'Hea,LAS,F,31,507,11.6,0.59,0.558,0.248,3.7,5.7,13,1.3,0.8,17.2,14,1,-0.2,0.8,0.067,2011
Erin Phillips,IND,G,31,689,16.9,0.586,0.31,0.365,3,7.9,19.4,2.3,0,16.4,18.6,1.9,0.9,2.8,0.163,2011
Porsha Phillips,SAS,F,31,258,8.7,0.408,0,0.322,8.1,13.3,5.6,1,3.7,11.8,13.7,-0.1,0.4,0.3,0.052,2011
Kara Braxton,TOT,C-F,31,522,16.3,0.536,0.054,0.256,10.7,14.6,11.7,1.9,3,18.4,23.3,0.5,0.6,1.1,0.085,2011
Karima Christmas-Kelly,TOT,G-F,31,308,8.8,0.472,0.455,0.489,7.7,7.6,4.3,2.4,1,19,19.5,-0.1,0,-0.1,-0.016,2011
Sandora Irvin,ATL,F,30,248,9.5,0.398,0.085,0.339,14.6,17.5,8,1.2,4.6,19.1,14.1,-0.1,0.4,0.4,0.058,2011
Temeka Johnson,PHO,G,30,717,11.8,0.534,0.382,0.129,1.5,4.9,27.5,1.7,0.5,24.1,14.3,0.9,0,1,0.053,2011
Alex Montgomery,NYL,G-F,30,271,9.1,0.405,0.212,0.2,6.6,12.3,12.4,2,2.3,17,18.6,-0.2,0.5,0.2,0.033,2011
DeMya Walker,TOT,F,30,489,8.4,0.453,0.021,0.34,10.9,12,9.5,1.1,1.1,21.4,19.5,-0.3,0.1,-0.2,-0.018,2011
Alexis Hornbuckle,MIN,G,29,208,4.2,0.459,0.531,0.125,3.5,9.5,10.5,2.5,1.3,38.3,11.8,-0.4,0.4,0,0.001,2011
Natasha Lacy,LAS,G,29,394,15.2,0.468,0.09,0.376,6,9.9,21.7,3.8,1.8,18.4,22.6,0,0.4,0.4,0.039,2011
Jessica Moore,CON,F-C,29,199,6.6,0.501,0,0.45,5.6,6.5,3.9,1.3,0.8,22.6,13.8,-0.1,0.2,0.1,0.029,2011
Ketia Swanier,PHO,G,29,429,5.9,0.447,0.532,0.203,1.7,7.5,21.7,2.7,0.2,36.8,13.8,-0.7,0.2,-0.5,-0.042,2011
Carolyn Swords,CHI,C,29,218,15.3,0.606,0,0.453,9.8,14.2,7.4,1.2,2.5,20.1,16.5,0.5,0.3,0.8,0.148,2011
Penny Taylor,PHO,F,29,864,25.5,0.642,0.349,0.396,4,9.5,26.8,2.8,1,14.7,22.2,4.7,0.7,5.4,0.249,2011
Lindsay Wisdom-Hylton,CHI,F,29,234,9.3,0.425,0.019,0.151,9.7,14,12.9,2.5,4.7,27.1,15,-0.3,0.5,0.2,0.031,2011
Monica Wright,MIN,G,29,393,11.9,0.462,0.193,0.343,1.8,7.2,12,3.1,1.1,14.8,21.5,0.1,0.8,0.9,0.087,2011
Kerri Gardin,WAS,F,28,391,6.3,0.3,0.136,0.492,6.6,11.9,11.5,3.3,2.6,26.6,11.3,-0.9,0.4,-0.5,-0.046,2011
Roneeka Hodges,SAS,G,28,273,16,0.598,0.899,0.056,1.3,7.6,8.9,0.9,0.6,4.2,16.1,0.8,0.3,1.1,0.158,2011
Courtney Paris,ATL,C,28,269,17.6,0.53,0.013,0.403,15.9,18.7,5.8,1.5,3.1,8.1,15.3,0.8,0.5,1.2,0.185,2011
Alexis Gray-Lawson,PHO,G,27,308,10.3,0.546,0.518,0.337,2,3.8,17.1,1,0,18.1,16.4,0.5,-0.1,0.4,0.05,2011
Amber Harris,MIN,F,27,278,12,0.46,0,0.373,10.4,12.9,5.9,0.6,3.5,11.9,17.6,0.3,0.4,0.8,0.109,2011
Charde Houston,MIN,F,27,210,8.5,0.426,0.271,0.141,5.7,13.4,10.4,2.3,0.9,18.9,23.7,-0.3,0.4,0.1,0.019,2011
Victoria Dunlap,WAS,F,26,219,13.7,0.458,0.035,0.298,9.1,12.2,9.6,4.4,1.8,18.9,16.5,-0.1,0.3,0.2,0.039,2011
Amber Holt,TUL,F,26,666,8,0.397,0.347,0.208,5.1,7.6,17.6,1.4,0.4,13.4,17.4,-0.4,-0.2,-0.7,-0.039,2011
Allison Hightower,CON,G,25,231,6.9,0.416,0.321,0.214,1.9,3.9,8.7,2.5,0.3,10.3,13.1,0,0.3,0.3,0.045,2011
Ivory Latta,TUL,G,24,684,12.8,0.511,0.365,0.177,1.8,4.4,24.4,2.2,0.2,19.4,23.7,0,-0.2,-0.1,-0.008,2011
Sidney Spencer,TOT,G,24,178,11.1,0.531,0.32,0.08,2.7,6.2,9.7,0,0,3.7,13.5,0.5,0,0.5,0.107,2011
Danielle Adams,SAS,F-C,23,480,20.2,0.547,0.435,0.309,8.4,12,5.4,1.3,2.5,9.4,27.7,1.2,0.8,1.9,0.159,2011
Dominique Canty,CHI,G,22,331,4.5,0.361,0.064,0.3,3,5,23.3,1.6,0.5,20.4,21.4,-0.9,0.3,-0.6,-0.076,2011
Sancho Lyttle,ATL,F,22,577,17.6,0.491,0.035,0.274,8,13.7,12.9,4.4,1.6,16.3,19.4,0.5,1.4,1.8,0.128,2011
Belinda Snell,SEA,G,21,134,10.1,0.608,0.75,0.464,3.1,7.3,9.1,1.2,1.2,21.1,15.4,0.2,0.2,0.4,0.119,2011
LaToya Sanders,LAS,F,20,222,15.8,0.576,0.018,0.491,10.2,12.9,3.8,1.2,4.7,15.2,16.6,0.5,0.1,0.6,0.117,2011
Ewelina Kobryn,SEA,C,18,123,7.8,0.415,0.233,0.1,5.6,11.6,8.6,2.2,4,20.3,15.4,-0.2,0.3,0.1,0.035,2011
Shalee Lehning,ATL,G,18,218,7.8,0.581,0.333,0.481,2.1,6.3,25.8,1.8,0.7,45.2,11.4,-0.2,0.2,0,0.009,2011
Candace Parker,LAS,F,17,555,26.7,0.592,0.189,0.383,4.7,16.1,17.1,2,3.9,11.1,25.2,2.3,0.7,3,0.217,2011
Sydney Colson,NYL,G,16,86,2.6,0.486,0.35,0.3,0,4.3,17.9,2.5,2,42.9,20.8,-0.4,0.1,-0.3,-0.123,2011
Abi Olajuwon,TUL,C,16,99,-0.3,0.298,0,0.077,3.7,7.7,3.7,0,1.6,15.7,14.7,-0.3,-0.1,-0.4,-0.159,2011
Ta'Shia Phillips,TOT,C,15,72,12.4,0.542,0,0.8,18,16.4,2.1,0,3.3,12.9,14.7,0.2,0,0.2,0.104,2011
Krystal Thomas,TOT,C,15,120,4,0.586,0,0.353,5.2,6.1,2.6,0.9,4.5,33.7,11,-0.1,0,-0.1,-0.025,2011
Marion Jones,TUL,G,14,91,0.4,0.22,0.19,0.19,5.3,4.2,5.7,4.1,1.8,18,13.9,-0.4,0,-0.4,-0.157,2011
Olayinka Sanni,PHO,F-C,14,73,0.4,0.624,0,0.4,6.7,8,0,2,1,42.4,18.2,-0.2,0,-0.2,-0.121,2011
Lauren Jackson,SEA,F-C,13,322,17.5,0.517,0.336,0.321,4.7,12.9,2.5,2.2,2.8,10,25.4,0.5,0.8,1.3,0.157,2011
Jessica Breland,TOT,F,13,75,12,0.419,0,0.087,4.8,11.5,8.7,1.4,8.1,11.2,16.2,0,0.2,0.1,0.079,2011
Chastity Reed,TUL,F,11,145,2.2,0.391,0.022,0.13,1.7,9.2,10.9,1.1,0.6,19.8,19.1,-0.4,0,-0.5,-0.125,2011
Briann January,IND,G,10,286,10.4,0.504,0.314,0.5,2.2,3,29.2,2.8,0,27.9,19.3,0,0.3,0.3,0.044,2011
Shay Murphy,CHI,G,10,205,18.1,0.509,0.298,0.333,16,14.2,10,3.3,1.5,16.5,25.5,0.4,0.4,0.7,0.145,2011
Betty Lennox,TUL,G,9,55,1.7,0.332,0.739,0.261,4.4,9.2,16.6,1.9,0,19,26.3,-0.3,0,-0.3,-0.189,2011
Angie Bjorklund,CHI,F,7,43,-1.6,0.325,0.455,0.273,0,2.8,7.2,1.2,0,14,15.1,-0.1,0,-0.1,-0.067,2011
Allie Quigley,SEA,G,7,14,13.7,0.34,0.2,0.4,9.8,18.6,12.2,3.9,5.9,14.5,23.7,0,0,0,0.047,2011
Kelly Mazzante,ATL,G,6,34,-8.1,0.125,1,0,0,3.4,0,1.4,0,7.7,15.9,-0.2,0,-0.2,-0.232,2011
Doneeka Lewis,TUL,G,5,101,4.8,0.36,0.605,0,3.6,6.9,27.6,2.1,0.8,23.2,25.3,-0.4,0,-0.4,-0.178,2011
Felicia Chester,NYL,F,4,27,6.4,0.258,0,0.667,17.6,18.3,0,2,0,0,6.5,0,0,0,0.068,2011
Monique Currie,WAS,F,4,77,23.2,0.559,0.229,0.457,10.7,13.7,11.7,4.9,0,19.2,30.7,0.2,0.1,0.3,0.155,2011
Jacinta Monroe,TUL,F,4,21,-8.7,0,0,0,11.5,12.1,7.7,0,0,33.3,13,-0.1,0,-0.2,-0.315,2011
Miranda Ayim,TUL,F,3,42,5,0.405,0,0.222,11.5,10.6,9.1,2.5,1.9,28.8,15.1,-0.1,0,-0.1,-0.094,2011
Joy Cheek,WAS,F,3,16,-2.3,0.338,0.25,0.25,0,11.7,0,0,5,31.1,18.3,-0.1,0,-0.1,-0.199,2011
Ify Ibekwe,SEA,F,3,8,-11.5,0,0,0,0,24.4,0,0,0,33.3,18.1,-0.1,0,-0.1,-0.372,2011
Danielle Adams,SAS,F-C,34,686,22,0.547,0.35,0.338,10.4,13.7,8.9,1.8,2.8,10.3,27.1,2.5,0.9,3.3,0.195,2012
Kara Braxton,NYL,C-F,34,535,14.4,0.486,0.024,0.189,13.6,16.9,12.9,1.7,3.2,24.4,25.4,-0.7,0.7,0,-0.002,2012
Essence Carson,NYL,F-G,34,927,14.4,0.47,0.266,0.137,3.7,7.5,11.6,2.1,2.2,12.3,23.1,0.4,0.8,1.2,0.053,2012
Swin Cash,CHI,F,34,1021,11.7,0.465,0.332,0.286,6.7,12.1,13.7,1.8,1.5,19.6,21.2,-0.1,1.5,1.4,0.054,2012
Tamika Catchings,IND,F,34,1036,27.3,0.552,0.285,0.35,7.1,15.1,21.3,3.6,2.4,9.9,26.3,5,2.8,7.8,0.301,2012
Shameka Christon,SAS,G,34,695,14.4,0.519,0.681,0.276,2.9,5.7,9.9,1.4,1.9,7.1,18.3,1.7,0.4,2.1,0.119,2012
Marissa Coleman,LAS,G-F,34,548,8.2,0.425,0.474,0.172,5.2,9,9.3,1.9,1.1,16.1,11.7,0.2,0.7,0.8,0.059,2012
Monique Currie,WAS,F,34,820,17.2,0.52,0.251,0.514,4.2,9.4,14.7,2.3,0.7,13.1,25.2,1.7,0.4,2.1,0.104,2012
Jessica Davenport,IND,C,34,514,17,0.533,0.017,0.453,8.1,13.5,8.3,2.4,4.3,19.2,23.8,0.4,1.2,1.6,0.124,2012
Kalana Greene,CON,G,34,605,12.3,0.506,0.182,0.38,3.4,6.1,14.6,3.3,0.9,16,12.2,0.7,1,1.7,0.112,2012
Lindsey Harding,ATL,G,34,1040,15.9,0.501,0.157,0.298,1.8,5.4,25.6,2.2,0.5,14.4,20.4,1.8,1.6,3.4,0.129,2012
Tiffany Hayes,ATL,G,34,787,13.2,0.519,0.333,0.506,3.6,7.8,15.2,1.8,1.2,15.3,18.4,1.3,1.3,2.5,0.129,2012
Aneika Henry-Morello,ATL,F-C,34,613,12.2,0.514,0,0.302,10.1,13.4,4,1.3,4,15.1,13.2,0.7,1.2,1.9,0.124,2012
Allison Hightower,CON,G,34,827,9.5,0.424,0.297,0.137,2.9,5.6,16.2,2.7,0.5,14.8,16.9,-0.2,1.1,0.9,0.045,2012
Alexis Hornbuckle,PHO,G,34,865,7.7,0.404,0.311,0.148,5.6,9,13.7,2.4,1.5,20.8,16.9,-1.2,0.1,-1.2,-0.054,2012
Glory Johnson,TUL,F,34,958,18.9,0.55,0,0.706,10.9,14.7,7.3,3.9,1.8,16.6,19.8,2,0.9,2.9,0.122,2012
Shenise Johnson,SAS,G,34,581,14.3,0.468,0.273,0.219,11.1,13.3,12.6,2.4,0.9,15.3,18.9,0.7,0.7,1.4,0.097,2012
Erlana Larkins,IND,F,34,526,17.1,0.569,0,0.333,15.8,17,11.9,3.5,0.8,21.5,13.8,1.3,1.2,2.5,0.193,2012
Ivory Latta,TUL,G,34,962,17.1,0.55,0.435,0.199,1.6,4.7,23.3,1.7,0.3,14.2,23.8,2.4,-0.4,2,0.081,2012
Jantel Lavender,LAS,C,34,490,15.3,0.543,0,0.2,12.2,15.6,6,0.9,2.9,17.9,18.7,0.8,0.7,1.5,0.123,2012
Kara Lawson,CON,G,34,1066,21.7,0.656,0.501,0.312,1.8,7.2,22.2,1.3,0.4,13.3,18.6,5.3,1.1,6.4,0.242,2012
Camille Little,SEA,F,34,947,14.4,0.563,0.12,0.558,7.4,11.3,13.3,1.4,1.5,21.4,22,1,1.6,2.6,0.11,2012
Sancho Lyttle,ATL,F,34,1074,16.6,0.465,0.228,0.137,5.1,14.2,14.7,3.9,1.7,14.7,24.3,-0.1,3.2,3,0.113,2012
DeLisha Milton-Jones,LAS,F,34,926,13.4,0.516,0.302,0.268,6.2,9.2,10.1,1.9,2,16,18.3,1.4,1.1,2.5,0.109,2012
Leilani Mitchell,NYL,G,34,908,11,0.555,0.668,0.062,2.8,5.5,18.2,2,0.5,21.1,12.4,1.2,0.5,1.7,0.074,2012
Renee Montgomery,CON,G,34,816,14.6,0.503,0.387,0.414,1.1,4.5,18.4,2.2,0.3,16.2,25.3,0.9,0.9,1.8,0.09,2012
Maya Moore,MIN,F,34,1011,25.1,0.592,0.439,0.231,8.8,11.9,20.3,2.6,1.8,11.6,23.2,5.6,1.8,7.4,0.292,2012
Jeanette Pohlen-Mavunga,IND,G,34,574,10.8,0.563,0.594,0.078,2.7,6,11.4,1.9,1.5,19,13.1,0.6,0.7,1.3,0.093,2012
Cappie Pondexter,NYL,G,34,1162,21.5,0.538,0.283,0.29,2,7.8,25.3,1.9,0.5,14.1,29,3.7,0.9,4.6,0.158,2012
Nicole Powell,NYL,F,34,922,12,0.539,0.565,0.07,5.3,9.4,8.5,2.6,1.3,18.2,13.1,0.9,1,1.9,0.081,2012
Armintie Herrington,ATL,G,34,904,14,0.544,0.009,0.557,8.2,8.1,15.5,2.2,0.9,18.3,15.5,1.5,1.3,2.9,0.127,2012
Danielle Robinson,SAS,G,34,984,16.4,0.569,0.026,0.204,2.3,5.1,24.8,2.5,0.3,15.5,16,2.8,0.7,3.5,0.144,2012
Katie Smith,SEA,G,34,919,8.9,0.563,0.588,0.198,1.2,6.2,14.3,1.2,0.4,20.1,13.3,0.7,1.2,1.9,0.081,2012
Shekinna Stricklen,SEA,F-G,34,784,12.7,0.495,0.462,0.206,4.8,11.5,10,1.6,0.9,11.3,19,0.5,1.5,2,0.103,2012
Ketia Swanier,ATL,G,34,389,7,0.407,0.366,0.317,1.5,6.9,25.8,2,0,30.5,15,-0.7,0.6,-0.1,-0.006,2012
Jasmine Thomas,WAS,G,34,763,11.2,0.462,0.34,0.152,2.2,6.7,24.4,2,0.7,19.7,22.6,-0.6,0.2,-0.4,-0.021,2012
Kristi Toliver,LAS,G,34,1071,21.1,0.636,0.377,0.379,3.5,5.8,26.2,2.1,0.2,21,23.8,4.6,1,5.6,0.209,2012
Courtney Vandersloot,CHI,G,34,906,10.6,0.476,0.289,0.196,0.8,4.9,31,2.6,0.7,26,21.2,-0.5,1.2,0.6,0.029,2012
Candice Wiggins,MIN,G,34,741,9.6,0.544,0.741,0.188,1.9,5.8,12.8,1.7,0.4,22.2,16.2,0.7,0.8,1.5,0.078,2012
Lindsay Wisdom-Hylton,WAS,F,34,501,13.4,0.502,0.008,0.15,10,12.2,12.2,2.6,4.4,22.8,16.1,0,0.5,0.4,0.036,2012
Monica Wright,MIN,G,34,660,15.2,0.548,0.196,0.427,3.4,7.3,15.5,2.7,0.8,19.6,22.1,1.1,1,2.1,0.13,2012
Matee Ajavon,WAS,G,33,712,9.7,0.423,0.376,0.296,3.4,5.3,17.7,4,0.7,17.3,24.2,-0.9,0.5,-0.4,-0.023,2012
Jayne Appel-Marinelli,SAS,C,33,625,14.1,0.593,0.012,0.341,11.6,20.2,9.3,1.5,3.9,28.5,9.9,0.9,1.2,2.1,0.136,2012
Alana Beard,LAS,G-F,33,1017,13.6,0.535,0.277,0.264,1.2,4,16.7,3.3,1,19.1,18.4,1.3,1.3,2.6,0.104,2012
Tina Charles,CON,C,33,1096,23.3,0.538,0.01,0.232,12.9,18.3,10.3,0.8,3.4,11.8,25.1,3.5,1.9,5.5,0.2,2012
Becky Hammon,SAS,G,33,998,19.2,0.598,0.507,0.267,1.1,4.9,30,1.6,0.5,20.7,23.2,3,0.5,3.5,0.14,2012
Ewelina Kobryn,SEA,C,33,438,10.7,0.5,0.199,0.368,4.9,10.9,6.7,2,2.7,20.6,21.8,-0.5,0.9,0.4,0.04,2012
Cathrine Kraayeveld,ATL,F,33,507,12.5,0.544,0.654,0.113,3.9,10.7,9,1.4,2.6,15.7,14.2,0.5,0.9,1.4,0.113,2012
Taj McWilliams-Franklin,MIN,F-C,33,879,15.7,0.546,0.021,0.17,7.9,11.8,14.5,2,4.4,20.7,15.9,1.4,1.7,3.1,0.14,2012
Nneka Ogwumike,LAS,F,33,920,23.8,0.583,0.021,0.429,12.7,15.3,7.5,2.5,2.5,9.6,20.5,4.3,1.7,5.9,0.258,2012
Candace Parker,LAS,F,33,1014,26.2,0.536,0.124,0.291,9.8,18,19.7,2.5,5.9,15.5,26.9,3.1,2.6,5.7,0.224,2012
Jia Perkins,SAS,G,33,759,18.2,0.482,0.377,0.181,2.6,7.2,14.6,3.7,1.3,7.4,23.5,1.4,1.1,2.5,0.131,2012
Ruth Riley,CHI,C,33,476,8.2,0.435,0.189,0.147,4.5,10.4,11.3,2.6,3.7,21.1,12.1,-0.2,0.9,0.8,0.064,2012
Ashley Robinson,WAS,C,33,535,7.7,0.409,0.009,0.171,8.6,12.9,9.7,1.9,3.7,23.7,14.2,-0.8,0.4,-0.4,-0.03,2012
Tammy Sutton-Brown,IND,C,33,541,13,0.487,0,0.345,6.2,10.4,7.5,2.4,4.2,14.1,13.2,0.5,1.1,1.6,0.118,2012
DeMya Walker,NYL,F,33,525,4.3,0.423,0,0.26,8.8,10.2,9.6,1.7,2.5,35.2,15.3,-1.4,0.4,-1,-0.076,2012
Lindsay Whalen,MIN,G,33,891,19.7,0.566,0.089,0.338,4.2,9,31.5,1.3,0.6,16.8,19.9,3.6,1,4.7,0.209,2012
Le'coe Willingham,CHI,F,33,610,3.6,0.413,0.57,0.18,7,9.9,8.2,1.3,0.6,29.2,14.4,-1.2,0.6,-0.6,-0.038,2012
Riquna Williams,TUL,G,33,671,17.3,0.458,0.347,0.27,4.1,7.2,20.4,3.9,1.2,11.1,28,0.5,0.3,0.9,0.053,2012
Sophia Young-Malcolm,SAS,F,33,1049,23.7,0.562,0.007,0.393,7.6,13.4,12.1,3.7,1,10.3,23,3.9,1.9,5.8,0.222,2012
Tamera Young,CHI,F,33,804,11.1,0.449,0.004,0.241,6.9,9.5,10.7,2.2,0.6,13.2,19.5,0.2,1.1,1.3,0.065,2012
Mistie Bass,CON,F,32,598,19.2,0.574,0.005,0.428,11.3,13.9,9.7,2.1,1.7,15.3,19.3,1.8,1,2.8,0.184,2012
DeWanna Bonner,PHO,G-F,32,1120,21,0.487,0.316,0.371,5.3,11.2,13.1,2.4,1.9,10,28.3,2.8,0.4,3.2,0.114,2012
Katie Douglas,IND,G-F,32,990,20.5,0.543,0.425,0.216,4,7.4,14.5,2.6,0.9,9.8,25.1,3.3,1.5,4.8,0.194,2012
Michelle Snow,WAS,C,32,643,13.5,0.556,0.006,0.232,11.2,16.9,5.7,1.6,3.4,23.7,16,0.3,0.6,0.8,0.052,2012
Tanisha Wright,SEA,G,32,953,10,0.468,0.22,0.331,3.3,6.2,27,2.1,0.4,23.9,17.9,-0.1,1.4,1.3,0.053,2012
Roneeka Hodges,TOT,G,32,617,13.8,0.525,0.624,0.128,2,6,13.3,1.6,1.4,13.8,19.3,0.7,0,0.7,0.044,2012
